file,doc_id,a_text,href,http_status,error
.\trudovoy.html,K1500000414,№ 147-VІ,http://85.202.192.66:9096/rus/docs/Z1800000147#z17,200,
.\trudovoy.html,K1500000414,№ 321-VІ,http://85.202.192.66:9096/rus/docs/Z2000000321#z113,200,
.\trudovoy.html,K1500000414,№ 327-VІ,http://85.202.192.66:9096/rus/docs/Z2000000327#z29,200,
.\trudovoy.html,K1500000414,№ 393-VI,http://85.202.192.66:9096/rus/docs/Z2000000393#z91,200,
.\trudovoy.html,K1500000414,№ 67-VII ЗРК,http://85.202.192.66:9096/rus/docs/Z2100000067#z9,200,
.\trudovoy.html,K1500000414,№ 95-VII,http://85.202.192.66:9096/rus/docs/Z2100000095#z802,200,
.\trudovoy.html,K1500000414,№ 223-VII,http://85.202.192.66:9096/rus/docs/Z2300000223#z170,200,
.\trudovoy.html,K1500000414,№ 61-VII,http://85.202.192.66:9096/rus/docs/Z2100000061#z17,200,
.\trudovoy.html,K1500000414,№ 129-VII,http://85.202.192.66:9096/rus/docs/Z2200000129#z110,200,
.\trudovoy.html,K1500000414,пункта 1,http://85.202.192.66:9096/rus/docs/K1500000414#z369,200,
.\trudovoy.html,K1500000414,пункта 1,http://85.202.192.66:9096/rus/docs/K1500000414#z369,200,
.\trudovoy.html,K1500000414,№ 483-V,http://85.202.192.66:9096/rus/docs/Z1600000483#z15,200,
.\trudovoy.html,K1500000414,№ 414-V,http://85.202.192.66:9096/rus/docs/K1500000414#z957,200,
.\trudovoy.html,K1500000414,№ 321-VІ,http://85.202.192.66:9096/rus/docs/Z2000000321#z119,200,
.\trudovoy.html,K1500000414,№ 61-VII,http://85.202.192.66:9096/rus/docs/Z2100000061#z20,200,
.\trudovoy.html,K1500000414,№ 95-VII,http://85.202.192.66:9096/rus/docs/Z2100000095#z804,200,
.\trudovoy.html,K1500000414,№ 199-VII,http://85.202.192.66:9096/rus/docs/Z2300000199#z8,200,
