slug,doc_id,n,pre,struct,links,canon,gate,chunk,sa,ca,status,note
Z040000602_,Z040000602_,4,ok,ok,ok,ok,GREEN,ok,4,4,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (11s)
Z050000031_,Z050000031_,17,ok,ok,ok,ok,GREEN,ok,17,17,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (7s)
Z050000036_,Z050000036_,19,ok,ok,ok,ok,GREEN,ok,19,19,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (8s)
Z050000066_,Z050000066_,31,ok,ok,ok,ok,GREEN,ok,31,31,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (12s)
Z050000093_,Z050000093_,29,ok,ok,ok,ok,GREEN,ok,28,29,UNDER_CHUNK,чанк-статей 29 != структ-статей 28  (9s)
Z060000121_,Z060000121_,19,ok,ok,ok,ok,GREEN,ok,19,19,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (7s)
Z060000126_,Z060000126_,34,ok,ok,ok,ok,GREEN,ok,34,34,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (10s)
Z060000163_,Z060000163_,27,ok,ok,ok,ok,GREEN,ok,27,27,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (8s)
Z060000169_,Z060000169_,28,ok,ok,ok,ok,GREEN,ok,28,28,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (10s)
Z060000175_,Z060000175_,100,ok,ok,ok,ok,GREEN,ok,100,100,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (17s)
Z060000207_,Z060000207_,61,ok,ok,ok,ok,GREEN,ok,61,61,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (13s)
Z070000005_,Z070000005_,4,ok,ok,ok,ok,GREEN,ok,4,4,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (6s)
Z070000234_,Z070000234_,3,КРИВО,-,-,-,-,-,-,-,QUARANTINE,map 3<<загол 28
Z070000301_,Z070000301_,36,ok,ok,ok,ok,GREEN,ok,36,36,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (10s)
Z070000302_,Z070000302_,27,ok,ok,ok,ok,GREEN,ok,27,27,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (8s)
Z070000305_,Z070000305_,19,ok,ok,ok,ok,GREEN,ok,19,20,UNDER_CHUNK,чанк-статей 20 != структ-статей 19  (8s)
Z070000306_,Z070000306_,19,ok,ok,ok,ok,GREEN,ok,19,19,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (8s)
Z080000061_,Z080000061_,32,ok,ok,ok,ok,GREEN,ok,32,32,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (10s)
Z080000067_,Z080000067_,30,ok,ok,ok,ok,GREEN,ok,30,30,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (11s)
Z090000155_,Z090000155_,44,ok,ok,ok,ok,GREEN,ok,44,44,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (11s)
Z090000165_,Z090000165_,17,ok,ok,ok,ok,GREEN,ok,17,17,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (10s)
Z090000223_,Z090000223_,15,ok,ok,ok,ok,GREEN,ok,15,15,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (7s)
Z1000000351,Z1000000351,25,ok,ok,ok,ok,GREEN,ok,25,25,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (8s)
Z1000000359,Z1000000359,4,ok,ok,ok,ok,GREEN,ok,4,4,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (7s)
